id,partnerid,sessionid,ageyo,sex,ethnicity,rfattrac,rkindunder,sim_manuallandmarks,avg_manuallandmarks,LD1_manuallandmarks,year,ethnicityhighgroup,partnerclass_hg,ethnicmatch_hg,partnermasc_LDA_manuallandmarks,sim_NN,sim_autolandmarks,LD1_autolandmarks,gsd_autolandmarked,pitch_angle,roll_angle,yaw_angle,avg_NN,LD_NN,gsd_NN,gsd_manuallandmarks,avg_autolandmark
14000044,14001042,1404,20.83333,1,Caucasian,3,3,-0.126001526,-0.075276782,1.441105348,2014,Caucasian,Caucasian,1,-0.830313175,-813.9203416,-0.125240189,2.449473802,1.924038412,1.3600528,-1.7655396,2.2621858,-581.4692264,3.509870946,0.529584755,0.731130603,-0.052396633
14000044,14001043,1404,20.83333,1,Caucasian,4,5,-0.071639873,-0.075276782,1.441105348,2014,Caucasian,Caucasian,1,-0.662162355,-769.7835982,-0.083384238,2.449473802,1.924038412,1.3600528,-1.7655396,2.2621858,-581.4692264,3.509870946,0.529584755,0.731130603,-0.052396633
14000044,14001044,1404,20.83333,1,Caucasian,4,6,-0.087990935,-0.075276782,1.441105348,2014,Caucasian,Caucasian,1,-1.169838257,-831.7074079,-0.084067618,2.449473802,1.924038412,1.3600528,-1.7655396,2.2621858,-581.4692264,3.509870946,0.529584755,0.731130603,-0.052396633
14000044,14001045,1404,20.83333,1,Caucasian,4,6,-0.092283066,-0.075276782,1.441105348,2014,Caucasian,Caucasian,1,-0.896632226,-797.4321562,-0.095439838,2.449473802,1.924038412,1.3600528,-1.7655396,2.2621858,-581.4692264,3.509870946,0.529584755,0.731130603,-0.052396633
14000045,14001041,1404,20.91667,1,Caucasian,2,5,-0.101350619,-0.054275363,1.528556177,2014,Caucasian,Caucasian,1,-0.356977437,-1041.379847,-0.087634014,1.22556335,1.777730374,2.4498103,-3.648091,5.950184,-744.7514149,2.176267685,0.901012577,1.096388306,-0.053402754
14000045,14001042,1404,20.91667,1,Caucasian,1,2,-0.121771758,-0.054275363,1.528556177,2014,Caucasian,Caucasian,1,-0.830313175,-836.5082805,-0.098500294,1.22556335,1.777730374,2.4498103,-3.648091,5.950184,-744.7514149,2.176267685,0.901012577,1.096388306,-0.053402754
14000045,14001043,1404,20.91667,1,Caucasian,NA,NA,-0.100205788,-0.054275363,1.528556177,2014,Caucasian,Caucasian,1,-0.662162355,-931.419756,-0.088621543,1.22556335,1.777730374,2.4498103,-3.648091,5.950184,-744.7514149,2.176267685,0.901012577,1.096388306,-0.053402754
14000045,14001044,1404,20.91667,1,Caucasian,3,7,-0.100604832,-0.054275363,1.528556177,2014,Caucasian,Caucasian,1,-1.169838257,-935.7945862,-0.080646617,1.22556335,1.777730374,2.4498103,-3.648091,5.950184,-744.7514149,2.176267685,0.901012577,1.096388306,-0.053402754
14000045,14001045,1404,20.91667,1,Caucasian,3,6,-0.10348135,-0.054275363,1.528556177,2014,Caucasian,Caucasian,1,-0.896632226,-901.9609557,-0.093812784,1.22556335,1.777730374,2.4498103,-3.648091,5.950184,-744.7514149,2.176267685,0.901012577,1.096388306,-0.053402754
14000051,14001052,1405,18.83333,1,Caucasian,2,5,-0.108255231,-0.063996395,2.130175129,2014,Caucasian,Caucasian,1,-2.05933982,-1474.49038,-0.089704511,1.261966654,1.773669134,-0.038913295,0.60284984,-2.9870276,-583.7786634,3.619402236,1.834994,2.810322803,-0.041144138
14000051,14001054,1405,18.83333,1,Caucasian,4,6,-0.100333216,-0.063996395,2.130175129,2014,Caucasian,Caucasian,1,0.47725137,-842.9343902,-0.094444197,1.261966654,1.773669134,-0.038913295,0.60284984,-2.9870276,-583.7786634,3.619402236,1.834994,2.810322803,-0.041144138
14000052,14001052,1405,21.58333,1,Caucasian,2,3,-0.092336421,-0.071381597,2.559634093,2014,Caucasian,Caucasian,1,-2.05933982,-1390.384857,-0.088048722,2.494171726,2.108458352,4.5655975,-4.5049257,5.2261753,-457.0553877,2.819968868,1.095569899,1.9341313,-0.054015497
14000052,14001054,1405,21.58333,1,Caucasian,6,5,-0.076143067,-0.071381597,2.559634093,2014,Caucasian,Caucasian,1,0.47725137,-663.6223119,-0.096099484,2.494171726,2.108458352,4.5655975,-4.5049257,5.2261753,-457.0553877,2.819968868,1.095569899,1.9341313,-0.054015497
14000053,14001052,1405,18.33333,1,Asian,4,5,-0.095871812,-0.075840199,1.332124365,2014,Asian,Caucasian,-1,-2.05933982,-1446.279023,-0.082089264,1.67837724,1.189758016,9.122076,0.6233481,-1.7147694,-489.1901561,5.078671092,1.795909592,1.450570229,-0.042460314
14000053,14001054,1405,18.33333,1,Asian,5,6,-0.086759058,-0.075840199,1.332124365,2014,Asian,Caucasian,-1,0.47725137,-781.161676,-0.0888952,1.67837724,1.189758016,9.122076,0.6233481,-1.7147694,-489.1901561,5.078671092,1.795909592,1.450570229,-0.042460314
14000061,14001061,1406,18.66667,1,Caucasian,3,3,-0.073037556,-0.055043856,-0.155533862,2014,Caucasian,Caucasian,1,-1.475425986,-746.1832047,-0.078664647,-0.544950217,-2.301337102,9.804717,-0.97293097,-0.7939155,-631.5541472,1.157769907,0.013048951,-1.645508797,-0.081124966
14000061,14001062,1406,18.66667,1,Caucasian,4,4,-0.062461064,-0.055043856,-0.155533862,2014,Caucasian,Asian,-1,-0.977830808,-938.4596119,-0.05617876,-0.544950217,-2.301337102,9.804717,-0.97293097,-0.7939155,-631.5541472,1.157769907,0.013048951,-1.645508797,-0.081124966
14000061,14001063,1406,18.66667,1,Caucasian,5,6,-0.066250986,-0.055043856,-0.155533862,2014,Caucasian,Asian,-1,-1.15535868,-771.7904788,-0.059405986,-0.544950217,-2.301337102,9.804717,-0.97293097,-0.7939155,-631.5541472,1.157769907,0.013048951,-1.645508797,-0.081124966
14000061,14001064,1406,18.66667,1,Caucasian,4,4,-0.060359567,-0.055043856,-0.155533862,2014,Caucasian,Caucasian,1,-3.539900186,-834.2606352,-0.044488178,-0.544950217,-2.301337102,9.804717,-0.97293097,-0.7939155,-631.5541472,1.157769907,0.013048951,-1.645508797,-0.081124966
14000062,14001061,1406,17.91667,1,Caucasian,5,6,-0.09151358,-0.047389986,1.708200803,2014,Caucasian,Caucasian,1,-1.475425986,-756.7346738,-0.088530097,1.948780331,1.572493268,7.1632023,-3.909664,9.562683,-597.3350564,2.111696729,0.707726431,1.7469773,-0.059751622
14000062,14001062,1406,17.91667,1,Caucasian,4,6,-0.087569993,-0.047389986,1.708200803,2014,Caucasian,Asian,-1,-0.977830808,-999.9862422,-0.094104199,1.948780331,1.572493268,7.1632023,-3.909664,9.562683,-597.3350564,2.111696729,0.707726431,1.7469773,-0.059751622
14000062,14001063,1406,17.91667,1,Caucasian,5,6,-0.10548365,-0.047389986,1.708200803,2014,Caucasian,Asian,-1,-1.15535868,-769.7677503,-0.075286698,1.948780331,1.572493268,7.1632023,-3.909664,9.562683,-597.3350564,2.111696729,0.707726431,1.7469773,-0.059751622
14000062,14001064,1406,17.91667,1,Caucasian,4,5,-0.095631444,-0.047389986,1.708200803,2014,Caucasian,Caucasian,1,-3.539900186,-800.8570321,-0.086955542,1.948780331,1.572493268,7.1632023,-3.909664,9.562683,-597.3350564,2.111696729,0.707726431,1.7469773,-0.059751622
14000063,14001061,1406,17.58333,1,Caucasian,5,5,-0.059223552,-0.061143806,0.930680369,2014,Caucasian,Caucasian,1,-1.475425986,-709.4934181,-0.077063067,2.780635342,3.031860198,5.9111133,-0.9776184,-1.6507798,-517.5839667,1.815676005,0.435395447,0.602222975,-0.052752727
14000063,14001062,1406,17.58333,1,Caucasian,4,6,-0.091323684,-0.061143806,0.930680369,2014,Caucasian,Asian,-1,-0.977830808,-1007.513482,-0.126324825,2.780635342,3.031860198,5.9111133,-0.9776184,-1.6507798,-517.5839667,1.815676005,0.435395447,0.602222975,-0.052752727
